MSA,MSA_old,PINCPC,POP,PINC,EMP,cbsa,RGDP,RGDPPC,D2I_Low,D2I_H,WRLURI,elasticity
"Anniston-Oxford, AL","Anniston-Oxford-Jacksonville, AL",35721.0,114.664,4095935.0,58.628,11500,3861148.0,33673.585432219355,1.26,1.37,,
"Appleton, WI","Appleton, WI",49292.0,236.058,11635733.0,155.134,11540,11548960.0,48924.247430716176,0.99,1.2,-0.15223685,2.2756798
"Asheville, NC","Asheville, NC",43265.0,455.255,19696720.0,273.581,11700,17323369.0,38052.012608318415,1.81,2.1,-0.61086994,1.5458176
"Athens-Clarke County, GA","Athens-Clarke County, GA",38884.0,208.997,8126567.0,126.066,12020,8730445.0,41773.06372818749,1.205,1.315,,
"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Roswell, GA",50269.0,5874.249,295294501.0,3774.198,12060,348681584.0,59357.644526134325,1.4025,1.53,0.034925,2.5536988
"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ",46549.0,266.328,12397367.0,164.114,12100,12424734.0,46652.00054068667,1.26,1.3725,0.68825674,1.1185694
"Auburn-Opelika, AL","Auburn-Opelika, AL",36437.0,161.641,5889666.0,83.721,12220,5897678.0,36486.27514058933,1.81,2.1,-1.1937114,5.2154036
"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC",40502.0,600.006,24301614.0,318.487,12260,24254227.0,40423.30743359233,1.46,1.595,-1.091925,3.568282
"Austin-Round Rock-Georgetown, TX","Austin-Round Rock, TX",55530.0,2115.23,117458116.0,1449.768,12420,127337977.0,60200.5346936267,1.315,1.4300000000000002,-0.2833971,3.002909
"Bakersfield, CA","Bakersfield, CA",38467.0,888.988,34196499.0,412.04,12540,50226164.0,56498.13495795219,1.63,1.81,0.3953429,1.6380138
"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD",59570.0,2798.587,166712892.0,1837.907,12580,178407243.0,63749.04299919924,1.595,1.7650000000000001,1.6010959,1.2349458
"Bangor, ME","Bangor, ME",39976.0,151.19,6044013.0,90.783,12620,5856821.0,38738.1506713407,1.2875,1.4000000000000001,0.5923235,2.324309
"Barnstable Town, MA","Barnstable Town, MA",70777.0,213.482,15109606.0,152.68,12700,12192071.0,57110.533909182035,2.2175000000000002,2.57,4.312253,1.0065495
"Baton Rouge, LA","Baton Rouge, LA",45865.0,853.762,39158059.0,530.726,12940,49456680.0,57927.9471328075,1.205,1.315,-0.813082,1.7378802
"Battle Creek, MI","Battle Creek, MI",38608.0,134.358,5187262.0,70.88,12980,5609810.0,41752.705458551034,0.765,1.085,,
"Bay City, MI","Bay City, MI",40192.0,104.189,4187549.0,46.766,13020,3468934.0,33294.62803174999,1.4000000000000001,1.525,,
"Beaumont-Port Arthur, TX","Beaumont-Port Arthur, TX",42728.0,398.686,17035245.0,210.78,13140,28069251.0,70404.40597362336,0.51,1.02,-0.6372842,2.4948409
"Beckley, WV","Beckley, WV",36477.0,118.639,4327543.0,53.715,13220,3746074.0,31575.401006414417,1.4000000000000001,1.525,,
"Bellingham, WA","Bellingham, WA",46719.0,221.65,10355271.0,126.487,13380,13306016.0,60031.65350778255,1.955,2.335,,
"Bend, OR","Bend-Redmond, OR",53033.0,186.807,9906980.0,126.915,13460,7892078.0,42247.228422917775,2.1,2.57,,
"Billings, MT","Billings, MT",49558.0,179.372,8889336.0,120.39,13740,9565917.0,53330.045938050534,1.56,1.72,-0.1934254,3.06213
"Binghamton, NY","Binghamton, NY",43201.0,241.609,10437731.0,127.064,13780,10724610.0,44388.28851574237,1.02,1.15,-0.80459076,2.2594266
"Birmingham-Hoover, AL","Birmingham-Hoover, AL",48618.0,1085.75,52786758.0,658.141,13820,54192007.0,49912.04881418374,1.315,1.4300000000000002,-0.23494875,2.144764
"Bismarck, ND","Bismarck, ND",54507.0,128.001,6976961.0,94.103,13900,6882276.0,53767.36119249068,1.315,1.4300000000000002,-0.3023023,3.464907
"Blacksburg-Christiansburg, VA","Blacksburg-Christiansburg-Radford, VA",36723.0,166.907,6129292.0,87.847,13980,6766394.0,40539.90545633197,1.2875,1.4000000000000001,,
"Bloomington, IL","Bloomington, IL",47247.0,172.845,8166372.0,112.014,14010,11826318.0,68421.52217304522,0.99,1.2,-0.20057786,3.4024215
"Bloomington, IN","Bloomington, IN",40079.0,167.513,6713796.0,97.365,14020,6420432.0,38327.96260588731,1.2325,1.3425,,
"Bloomsburg-Berwick, PA","Bloomsburg-Berwick, PA",43692.0,83.924,3666836.0,52.947,14100,3962275.0,47212.65668938563,0.51,1.02,,
"Boise City, ID","Boise City, ID",44062.0,710.08,31287639.0,428.223,14260,29709413.0,41839.52934880577,1.7650000000000001,2.0275,-0.4626847,1.6927996
"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH",74779.0,4844.597,362272886.0,3618.955,14460,399360729.0,82434.25180670343,1.1724999999999999,1.2875,1.7025069,0.8581065
"Boulder, CO","Boulder, CO",69298.0,324.073,22457556.0,269.27,14500,24607654.0,75932.44114751923,1.49,1.63,3.121081,1.2232325
"Bowling Green, KY","Bowling Green, KY",35863.0,174.962,6274681.0,101.561,14540,6254353.0,35746.92218881815,1.315,1.4300000000000002,,
"Bremerton-Silverdale-Port Orchard, WA","Bremerton-Silverdale, WA",52833.0,266.55,14082667.0,132.502,14740,11035875.0,41402.64490714688,2.57,,0.57227755,1.4866295
"Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT",112769.0,943.457,106392305.0,659.847,14860,77609152.0,82260.40190490929,1.685,1.9100000000000001,,
"Brownsville-Harlingen, TX","Brownsville-Harlingen, TX",27427.0,423.181,11606636.0,192.721,15180,9737643.0,23010.58648663338,1.1175,1.2325,-0.95578474,2.3966222
"Brunswick, GA","Brunswick, GA",39058.0,117.728,4598165.0,59.742,15260,3824135.0,32482.79933405817,1.72,1.955,,
"Buffalo-Cheektowaga, NY","Buffalo-Cheektowaga-Niagara Falls, NY",48879.0,1129.66,55216894.0,670.999,15380,59746005.0,52888.484145672155,0.765,1.085,-0.23118621,1.82699
"Burlington, NC","Burlington, NC",38141.0,163.529,6237219.0,82.464,15500,5200654.0,31802.64051024589,1.6749999999999998,1.8825,,
"Burlington-South Burlington, VT","Burlington-South Burlington, VT",55445.0,218.881,12135868.0,165.129,15540,12125000.0,55395.397499097686,1.315,1.4300000000000002,1.1774004,1.5618443
"California-Lexington Park, MD","California-Lexington Park, MD",54446.0,112.413,6120472.0,61.186,15680,6402262.0,56953.0392392339,2.1,2.57,,
"Canton-Massillon, OH","Canton-Massillon, OH",42937.0,399.418,17149910.0,221.673,15940,18134746.0,45402.92625770496,1.4000000000000001,1.525,-0.80701536,3.0307305
"Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL",48872.0,739.506,36140942.0,379.209,15980,26207287.0,35438.91057002918,2.0275,2.4524999999999997,-0.14938621,1.2812364
"Cape Girardeau, MO-IL","Cape Girardeau, MO-IL",41882.0,96.873,4057266.0,60.492,16020,3913734.0,40400.668917035706,1.2325,1.345,,
"Carbondale-Marion, IL","Carbondale-Marion, IL",38782.0,137.49,5332144.0,76.491,16060,5589686.0,40655.21856134992,0.51,1.02,,
"Carson City, NV","Carson City, NV",48065.0,54.608,2624755.0,39.441,16180,3156084.0,57795.26809258717,1.1125,1.2325,,
"Casper, WY","Casper, WY",62751.0,79.556,4992181.0,53.892,16220,5010582.0,62981.82412388758,1.46,1.595,-0.8195934,4.5381074
"Cedar Rapids, IA","Cedar Rapids, IA",49721.0,270.594,13454170.0,181.671,16300,16790507.0,62050.55174911491,1.1175,1.2325,-0.68610734,3.9480708
"Chambersburg-Waynesboro, PA","Chambersburg-Waynesboro, PA",44239.0,154.487,6834280.0,79.491,16540,5412963.0,35038.30743039867,1.49,1.63,,
"Champaign-Urbana, IL","Champaign-Urbana, IL",43644.0,226.56,9887895.0,134.912,16580,10435942.0,46062.59710451977,1.085,1.205,-0.39136863,3.629078
"Charleston, WV","Charleston, WV",41322.0,264.183,10916568.0,149.034,16620,11538213.0,43675.07750309444,0.51,1.02,-1.1493769,1.5718449
"Charleston-North Charleston, SC","Charleston-North Charleston, SC",48769.0,775.089,37800241.0,482.76,16700,36394735.0,46955.556071625324,1.8825,2.2175000000000002,-0.8060621,1.1964433
"Charlotte-Concord-Gastonia, NC-SC","Charlotte-Concord-Gastonia, NC-SC",50043.0,2549.741,127596524.0,1593.809,16740,143835956.0,56411.98694298754,1.4025,1.53,-0.5302106,3.0920334
"Charlottesville, VA","Charlottesville, VA",63300.0,216.559,13708201.0,153.057,16820,11937304.0,55122.64094311481,1.49,1.63,-0.9799601,3.4359303
"Chattanooga, TN-GA","Chattanooga, TN-GA",44198.0,556.081,24577673.0,327.239,16860,26693082.0,48002.14716920736,1.3425,1.46,-0.72058916,2.1130126
"Cheyenne, WY","Cheyenne, WY",49746.0,98.46,4898034.0,68.988,16940,5193647.0,52748.80154377412,1.7650000000000001,2.0275,,
"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Elgin, IL-IN-WI",58014.0,9520.784,552339301.0,6090.516,16980,600421994.0,63064.34365069095,1.2325,1.345,0.43549547,1.2830582
"Chico, CA","Chico, CA",42653.0,229.207,9776376.0,114.64,17020,9002731.0,39277.731482895375,1.8825,2.2175000000000002,0.94018835,1.7394891
"Cincinnati, OH-KY-IN","Cincinnati, OH-KY-IN",51729.0,2202.597,113937980.0,1372.384,17140,122867631.0,55783.07379879297,1.1175,1.2325,-0.2768149,2.6028533
"Clarksville, TN-KY","Clarksville, TN-KY",39426.0,299.059,11790763.0,154.838,17300,11147716.0,37275.9756436021,2.1,2.57,,
"Cleveland, TN","Cleveland, TN",37063.0,122.082,4524685.0,62.495,17420,4671982.0,38269.21249651873,1.495,1.64,,
"Cleveland-Elyria, OH","Cleveland-Elyria, OH",51409.0,2058.549,105828387.0,1332.93,17460,117136194.0,56902.31031663565,1.02,1.15,-0.16035768,1.0249237
"Coeur d'Alene, ID","Coeur d'Alene, ID",43129.0,157.485,6792188.0,88.196,17660,5301432.0,33663.091723021236,2.57,,,
"College Station-Bryan, TX","College Station-Bryan, TX",37569.0,258.825,9723678.0,152.965,17780,12775982.0,49361.46817347629,1.02,1.15,0.38432527,2.7198987
"Colorado Springs, CO","Colorado Springs, CO",46708.0,725.438,33883990.0,426.55,17820,33146193.0,45691.28305933795,2.1,2.57,0.86787033,1.6681645
"Columbia, MO","Columbia, MO",44916.0,206.288,9265632.0,142.143,17860,8675553.0,42055.5388582952,1.15,1.26,-1.5323458,7.8417006
"Columbia, SC","Columbia, SC",43750.0,825.11,36098903.0,505.636,17900,38014141.0,46071.603786161846,1.46,1.595,-0.7645787,2.640273
"Columbus, GA-AL","Columbus, GA-AL",39407.0,315.872,12447463.0,179.873,17980,13232794.0,41892.899655556685,1.605,1.7925,-0.8269074,3.8502142
"Columbus, IN","Columbus, IN",47987.0,82.429,3955556.0,61.301,18020,6063299.0,73557.83765422364,0.6375,1.0525,,
"Columbus, OH","Columbus, OH",49338.0,2082.475,102744546.0,1375.704,18140,112512486.0,54028.25292020312,1.1775,1.2875,0.25988513,2.7131891
"Corpus Christi, TX","Corpus Christi, TX",42389.0,428.237,18152655.0,251.653,18580,21165711.0,49425.227152254476,1.205,1.315,-0.24546725,1.6543641
"Corvallis, OR","Corvallis, OR",44519.0,91.567,4076498.0,51.317,18700,4484532.0,48975.41690783798,1.7650000000000001,2.0275,0.0659792,2.811249
"Crestview-Fort Walton Beach-Destin, FL","Crestview-Fort Walton Beach-Destin, FL",49800.0,271.959,13543565.0,173.797,18880,12622410.0,46412.91518206788,2.1,2.57,-0.07139186,1.7463965
"Cumberland, MD-WV","Cumberland, MD-WV",38342.0,98.566,3779218.0,47.392,19060,3562958.0,36147.94148083518,1.345,1.465,,
"Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",53391.0,7340.943,391942594.0,4948.247,19100,451414779.0,61492.75086320654,1.085,1.205,-0.25053227,2.4865007
"Dalton, GA","Dalton, GA",34984.0,143.872,5033165.0,80.027,19140,6823387.0,47426.78909030249,0.51,1.02,,
"Danville, IL","Danville, IL",37461.0,77.776,2913571.0,36.016,19180,3196706.0,41101.445175889734,0.51,1.02,,
"Daphne-Fairhope-Foley, AL","Daphne-Fairhope-Foley, AL",43989.0,212.619,9352917.0,111.99,19300,5525882.0,25989.59641424332,2.57,,,
"Davenport-Moline-Rock Island, IA-IL","Davenport-Moline-Rock Island, IA-IL",47295.0,381.854,18059747.0,230.323,19340,20339874.0,53266.10170379255,0.8925000000000001,1.1175,-0.91260684,4.1087456
"Dayton, OH","Dayton, OH",45751.0,803.713,36770689.0,482.446,19430,37959200.0,47229.79471527772,1.085,1.205,-0.5002998,3.705984
"Decatur, AL","Decatur, AL",37050.0,151.888,5627400.0,74.111,19460,5342321.0,35172.76545875909,1.3725,1.495,-0.98815924,3.8511612
"Decatur, IL","Decatur, IL",45425.0,105.533,4793880.0,62.255,19500,6238665.0,59115.774212805474,0.51,1.02,-0.99899614,4.9873834
"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL",41165.0,648.117,26679424.0,287.897,19660,18091856.0,27914.490747812506,2.1,2.57,0.4783041,1.0688713
"Denver-Aurora-Lakewood, CO","Denver-Aurora-Lakewood, CO",60604.0,2892.979,175325511.0,2036.345,19740,187126660.0,64683.034339343634,1.595,1.7650000000000001,0.8363913,1.5290611
"Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA",51782.0,682.085,35319931.0,478.216,19780,43692327.0,64057.01195598789,1.085,1.205,-0.84009665,3.6620333
"Detroit-Warren-Dearborn, MI","Detroit-Warren-Dearborn, MI",50759.0,4321.704,219365974.0,2587.204,19820,233241705.0,53969.84731022763,1.085,1.205,0.05446281,1.2411451
"Dothan, AL","Dothan, AL",39194.0,147.923,5797729.0,78.563,20020,5055797.0,34178.5726357632,1.4300000000000002,1.56,-0.9431387,4.2563744
"Dover, DE","Dover, DE",40438.0,176.445,7135135.0,92.106,20100,6621713.0,37528.481963218,2.1,2.57,0.31534323,2.181916
"Dubuque, IA","Dubuque, IA",46242.0,97.009,4485869.0,73.007,20220,5120001.0,52778.61847869785,1.1175,1.2325,-0.9588186,4.6055536
"Duluth, MN-WI","Duluth, MN-WI",43835.0,289.175,12676101.0,170.506,20260,13587347.0,46986.589435462956,1.4000000000000001,1.525,-0.2934594,2.0149717
"Durham-Chapel Hill, NC","Durham-Chapel Hill, NC",51158.0,625.865,32018021.0,434.703,20500,46804056.0,74782.98994192037,1.085,1.205,,
"East Stroudsburg, PA","East Stroudsburg, PA",40393.0,168.089,6789664.0,77.958,20700,5529321.0,32895.198377050256,2.0275,2.4524999999999997,,
"Eau Claire, WI","Eau Claire, WI",45188.0,167.436,7566094.0,110.621,20740,8260745.0,49336.73164671875,1.1775,1.2875,,
"El Centro, CA","El Centro, CA",36537.0,181.574,6634190.0,80.123,20940,8189014.0,45100.146496745125,1.63,1.81,,
"Elizabethtown-Fort Knox, KY","Elizabethtown-Fort Knox, KY",40922.0,150.531,6160042.0,77.349,21060,5349500.0,35537.53047545024,1.49,1.63,,
"Elkhart-Goshen, IN","Elkhart-Goshen, IN",45451.0,204.31,9286181.0,164.569,21140,11979393.0,58633.41490871714,0.51,1.02,-0.8325504,4.0081205
"Elmira, NY","Elmira, NY",42745.0,84.874,3627943.0,43.606,21300,3573676.0,42105.662511487615,1.0525,1.1775,-0.76975363,3.5560894
"El Paso, TX","El Paso, TX",34228.0,845.145,28927444.0,439.417,21340,28207727.0,33376.198167178416,1.4300000000000002,1.56,0.7277706,2.3477886
"Enid, OK","Enid, OK",42493.0,61.492,2612964.0,37.566,21420,3345503.0,54405.49990242634,,,-0.46963257,3.8586347
"Erie, PA","Erie, PA",42308.0,273.892,11587938.0,157.998,21500,10860163.0,39651.26035079521,1.02,1.15,-0.6262951,1.6713277
"Eugene-Springfield, OR","Eugene, OR",43960.0,375.617,16512047.0,208.647,21660,14683029.0,39090.42721708549,1.7650000000000001,2.0275,0.34311852,1.2243577
"Evansville, IN-KY","Evansville, IN-KY",45436.0,314.96,14310394.0,193.728,21780,15856790.0,50345.408940817884,1.15,1.26,-1.0457487,3.9929748
"Fairbanks, AK","Fairbanks, AK",53974.0,99.725,5382588.0,58.949,21820,5582087.0,55974.800701930304,1.7650000000000001,2.0275,,
"Fargo, ND-MN","Fargo, ND-MN",50639.0,241.619,12235224.0,178.477,22020,12667707.0,52428.43898865569,1.0525,1.1775,-1.2707556,5.97526
"Farmington, NM","Farmington, NM",33613.0,126.902,4265534.0,62.225,22140,6189598.0,48774.62924146192,1.2875,1.4000000000000001,,
"Fayetteville, NC","Fayetteville, NC",35245.0,517.609,18243302.0,255.597,22180,19004060.0,36715.08802976764,2.0275,2.4524999999999997,-0.508336,2.7050788
"Fayetteville-Springdale-Rogers, AR","Fayetteville-Springdale-Rogers, AR-MO",62633.0,515.633,32295738.0,314.551,22220,22927117.0,44464.02189153914,1.0175,1.2275,-0.40400937,2.064204
"Flagstaff, AZ","Flagstaff, AZ",46662.0,141.107,6584279.0,86.713,22380,6753461.0,47860.56680391476,1.49,1.63,-0.418257,3.1154153
"Flint, MI","Flint, MI",39380.0,407.673,16054031.0,187.742,22420,13162959.0,32288.032320021193,1.4000000000000001,1.525,-0.3153763,2.750336
"Florence, SC","Florence, SC",38644.0,205.546,7943148.0,112.609,22500,8824777.0,42933.34338785478,1.0525,1.1775,-0.4279859,2.937962
"Florence-Muscle Shoals, AL","Florence-Muscle Shoals, AL",36129.0,147.1,5314526.0,75.573,22520,5103322.0,34692.875594833444,1.595,1.7650000000000001,,
"Fond du Lac, WI","Fond du Lac, WI",46203.0,102.371,4729842.0,60.115,22540,4721376.0,46120.24889861386,1.205,1.315,,
"Fort Collins, CO","Fort Collins, CO",51497.0,343.993,17714530.0,233.281,22660,16121584.0,46866.02343652342,2.0275,2.4524999999999997,0.5740648,1.7872449
"Fort Smith, AR-OK","Fort Smith, AR-OK",36452.0,249.96,9111482.0,134.374,22900,8634927.0,34545.23523763802,1.15,1.26,-1.0431358,3.3567379
"Fort Wayne, IN","Fort Wayne, IN",44050.0,405.987,17883573.0,258.831,23060,20292855.0,49984.00195080138,1.2325,1.3425,-1.2196237,5.3610816
"Fresno, CA","Fresno, CA",41137.0,986.542,40583060.0,497.517,23420,41597807.0,42165.26716551348,1.495,1.64,0.90788496,1.8360769
"Gadsden, AL","Gadsden, AL",35542.0,102.937,3658631.0,50.527,23460,2746645.0,26682.7768440891,1.37,1.49,-0.50981665,3.406384
"Gainesville, FL","Gainesville, FL",40958.0,324.991,13310855.0,194.216,23540,13609063.0,41875.19962091258,1.02,1.15,0.07176816,2.4784896
"Gainesville, GA","Gainesville, GA",41856.0,199.439,8347634.0,116.052,23580,8440946.0,42323.447269591205,1.3725,1.495,,
"Gettysburg, PA","Gettysburg, PA",47020.0,102.367,4813310.0,48.936,23900,3476444.0,33960.59276915412,2.1,2.57,,
"Glens Falls, NY","Glens Falls, NY",45033.0,125.917,5670464.0,71.663,24020,5367379.0,42626.325277762335,1.4000000000000001,1.525,-1.6048446,4.528373
"Goldsboro, NC","Goldsboro, NC",37309.0,123.257,4598543.0,59.175,24140,4702700.0,38153.61399352572,1.63,1.81,-0.42365012,3.1196246
"Grand Forks, ND-MN","Grand Forks, ND-MN",48339.0,102.277,4943960.0,72.535,24220,4980504.0,48696.226913186736,1.205,1.315,,
"Grand Island, NE","Grand Island, NE",42186.0,75.652,3191443.0,51.605,24260,3793270.0,50141.04055411622,1.02,1.15,,
"Grand Junction, CO","Grand Junction, CO",42239.0,151.406,6395255.0,88.939,24300,5970021.0,39430.54436415994,2.1,2.57,0.46126384,2.1279953
"Grand Rapids-Kentwood, MI","Grand Rapids-Wyoming, MI",47989.0,1063.926,51056825.0,717.718,24340,53368797.0,50162.13251673518,1.085,1.205,-0.14516415,2.38978
"Grants Pass, OR","Grants Pass, OR",39166.0,86.653,3393827.0,38.748,24420,2454025.0,28320.13894498748,2.57,,,
"Great Falls, MT","Great Falls, MT",45291.0,81.604,3695959.0,50.394,24500,3644181.0,44656.89181902848,1.7650000000000001,2.0275,-0.00999154,3.072524
"Greeley, CO","Greeley, CO",44173.0,305.274,13484839.0,156.411,24540,18767550.0,61477.72165333438,2.1,2.57,0.44817808,2.521466
"Green Bay, WI","Green Bay, WI",49262.0,319.786,15753400.0,218.434,24580,18271480.0,57136.58509127979,1.145,1.26,0.57362556,2.0161753
"Greensboro-High Point, NC","Greensboro-High Point, NC",41701.0,763.486,31837816.0,473.309,24660,37721468.0,49406.88892789128,1.26,1.37,-0.29141775,3.0958705
"Greenville, NC","Greenville, NC",39873.0,178.617,7122044.0,100.461,24780,7719111.0,43215.99287861738,1.205,1.315,1.3913455,1.9563341
"Greenville-Anderson, SC","Greenville-Anderson-Mauldin, SC",42650.0,895.422,38189958.0,529.452,24860,39816849.0,44467.13281558863,1.315,1.4300000000000002,-0.93512124,2.7141483
"Gulfport-Biloxi, MS","Gulfport-Biloxi-Pascagoula, MS",35672.0,412.946,14730604.0,217.984,25060,16951069.0,41049.117802327666,1.3425,1.46,-0.99127066,1.6021414
"Hagerstown-Martinsburg, MD-WV","Hagerstown-Martinsburg, MD-WV",42144.0,283.004,11926830.0,138.739,25180,10140729.0,35832.45819847069,2.0275,2.4524999999999997,0.33264944,2.493968
"Hammond, LA","Hammond, LA",37474.0,132.322,4958676.0,64.968,25220,3863443.0,29197.28389836913,2.2175000000000002,2.57,,
"Hanford-Corcoran, CA","Hanford-Corcoran, CA",34323.0,149.696,5137941.0,62.009,25260,5481134.0,36615.09993587003,1.525,1.6749999999999998,,
"Harrisburg-Carlisle, PA","Harrisburg-Carlisle, PA",49987.0,571.101,28547475.0,417.661,25420,35022725.0,61324.92326226009,1.02,1.15,0.5364548,1.6292934
"Harrisonburg, VA","Harrisonburg, VA",38469.0,134.22,5163276.0,85.377,25500,6058956.0,45141.9758605275,1.15,1.26,,
"Hartford-East Hartford-Middletown, CT","Hartford-West Hartford-East Hartford, CT",61464.0,1206.719,74169244.0,820.493,25540,89872056.0,74476.37436718906,1.085,1.205,0.48542982,1.4960839
"Hattiesburg, MS","Hattiesburg, MS",37066.0,167.764,6218355.0,95.65,25620,5818906.0,34685.069502396225,1.315,1.4300000000000002,,
"Hickory-Lenoir-Morganton, NC","Hickory-Lenoir-Morganton, NC",38119.0,367.004,13989716.0,198.295,25860,13716423.0,37374.042244771175,1.2875,1.4000000000000001,-0.57666487,2.4136906
"Hilton Head Island-Bluffton, SC","Hilton Head Island-Bluffton-Beaufort, SC",50351.0,214.89,10819864.0,123.086,25940,7299580.0,33968.91432826097,2.57,,,
"Hinesville, GA","Hinesville, GA",32322.0,80.518,2602511.0,41.824,25980,3323217.0,41272.97001912616,2.1,2.57,,
"Homosassa Springs, FL","Homosassa Springs, FL",36614.0,145.512,5327715.0,49.862,26140,3414707.0,23466.841222717027,2.4524999999999997,2.57,,
"Hot Springs, AR","Hot Springs, AR",38629.0,98.444,3802782.0,52.438,26300,3003768.0,30512.45378082971,1.595,1.7650000000000001,,
"Houma-Thibodaux, LA","Houma-Thibodaux, LA",41605.0,209.893,8732516.0,114.068,26380,9201863.0,43840.733135454735,1.315,1.4300000000000002,,
"Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands-Sugar Land, TX",53479.0,6905.695,369310576.0,4180.623,26420,432329249.0,62604.74130409756,0.9575,1.1724999999999999,0.12848938,1.7410723
"Huntington-Ashland, WV-KY-OH","Huntington-Ashland, WV-KY-OH",37901.0,361.897,13716169.0,172.97,26580,14475058.0,39997.72863549573,1.315,1.4300000000000002,-1.2046235,1.810303
"Huntsville, AL","Huntsville, AL",47442.0,455.741,21621268.0,294.365,26620,24113355.0,52910.216548434306,1.2875,1.4000000000000001,-1.2436147,2.848342
"Idaho Falls, ID","Idaho Falls, ID",43646.0,145.792,6363267.0,91.395,26820,6200669.0,42530.92762291484,1.315,1.4300000000000002,,
"Indianapolis-Carmel-Anderson, IN","Indianapolis-Carmel-Anderson, IN",52221.0,2026.723,105838229.0,1332.514,26900,122143721.0,60266.608214344036,1.1175,1.2325,-0.7448606,4.0038266
"Iowa City, IA","Iowa City, IA",50819.0,171.47,8713868.0,131.233,26980,9364567.0,54613.44258470869,1.3425,1.46,-0.83003175,4.4204044
"Ithaca, NY","Ithaca, NY",43466.0,102.678,4462964.0,69.929,27060,5355968.0,52162.76125362785,0.51,1.02,,
"Jackson, MI","Jackson, MI",38031.0,158.69,6035203.0,75.398,27100,5525960.0,34822.35805658832,1.4000000000000001,1.525,,
"Jackson, MS","Jackson, MS",42035.0,599.401,25195571.0,383.21,27140,25053951.0,41798.313649793716,1.3425,1.46,-0.72970307,3.0016487
"Jackson, TN","Jackson, TN",38565.0,178.304,6876327.0,106.452,27180,7384394.0,41414.628948312995,1.0525,1.1775,-1.1300251,5.063777
"Jacksonville, FL","Jacksonville, FL",47830.0,1504.841,71976123.0,909.377,27260,71661716.0,47620.78917307543,1.6749999999999998,1.8825,-0.022161968,1.0591615
"Jacksonville, NC","Jacksonville, NC",44836.0,194.838,8735704.0,115.95,27340,8005278.0,41086.84137591229,2.57,,,
"Janesville-Beloit, WI","Janesville-Beloit, WI",42189.0,162.32,6848101.0,85.315,27500,6634276.0,40871.58698866437,1.2325,1.3425,-0.27588543,3.3310556
"Jefferson City, MO","Jefferson City, MO",42259.0,151.298,6393676.0,101.279,27620,6468973.0,42756.50041639678,1.1175,1.2325,,
